Crop,Disease Name,Disease Type,Symptoms,Causes,Management,Treatment Plan,Solution,Severity,Recommended Fertilizers,Affected Area
Rice,Bacterial Leaf Blight,Bacterial,"The disease initially appears as subtle discolorations on leaf surfaces which gradually develop into clearly visible lesions. Over time, these lesions expand, merge, and lead to tissue necrosis. Affected leaves lose chlorophyll, resulting in reduced photosynthesis. In advanced stages, the plant exhibits stunted growth, premature leaf drop, and reduced yield quality. If left unmanaged, the disease can spread rapidly across the crop canopy.","This disease is primarily caused by pathogen activity under favorable environmental conditions such as high humidity, temperature fluctuations, and poor air circulation. The pathogen spreads through wind, water droplets, contaminated tools, and infected plant debris. Continuous monocropping and improper field sanitation further increase disease intensity.","Effective management requires an integrated approach combining cultural, biological, and preventive strategies. Crop rotation, removal of infected residues, and maintaining proper plant spacing are essential. Ensuring balanced soil nutrition and avoiding excessive irrigation help reduce susceptibility. Regular monitoring and early detection significantly limit disease spread.","1. Apply neem oil spray during early morning hours (6–9 AM) to reduce pathogen activity.
2. Use Trichoderma-based bio-fungicide under high humidity conditions.
3. Avoid irrigation during late evening to minimize leaf wetness.
4. Improve airflow by maintaining proper plant spacing.
5. Apply compost tea weekly to enhance plant immunity and resistance.","A holistic integrated disease management strategy should be implemented. This includes the use of resistant crop varieties, biological control agents, and proper environmental management. Maintaining soil health through organic inputs improves plant resilience. Early intervention and consistent monitoring ensure long-term sustainability and disease suppression.",Moderate,Vermicompost; Neem Cake; Compost,Leaves
Rice,Brown Spot,Fungal,"The disease initially appears as subtle discolorations on leaf surfaces which gradually develop into clearly visible lesions. Over time, these lesions expand, merge, and lead to tissue necrosis. Affected leaves lose chlorophyll, resulting in reduced photosynthesis. In advanced stages, the plant exhibits stunted growth, premature leaf drop, and reduced yield quality. If left unmanaged, the disease can spread rapidly across the crop canopy.","This disease is primarily caused by pathogen activity under favorable environmental conditions such as high humidity, temperature fluctuations, and poor air circulation. The pathogen spreads through wind, water droplets, contaminated tools, and infected plant debris. Continuous monocropping and improper field sanitation further increase disease intensity.","Effective management requires an integrated approach combining cultural, biological, and preventive strategies. Crop rotation, removal of infected residues, and maintaining proper plant spacing are essential. Ensuring balanced soil nutrition and avoiding excessive irrigation help reduce susceptibility. Regular monitoring and early detection significantly limit disease spread.","1. Apply neem oil spray during early morning hours (6–9 AM) to reduce pathogen activity.
2. Use Trichoderma-based bio-fungicide under high humidity conditions.
3. Avoid irrigation during late evening to minimize leaf wetness.
4. Improve airflow by maintaining proper plant spacing.
5. Apply compost tea weekly to enhance plant immunity and resistance.","A holistic integrated disease management strategy should be implemented. This includes the use of resistant crop varieties, biological control agents, and proper environmental management. Maintaining soil health through organic inputs improves plant resilience. Early intervention and consistent monitoring ensure long-term sustainability and disease suppression.",Moderate,Vermicompost; Neem Cake; Compost,Leaves
Rice,Leaf Smut,Fungal,"The disease initially appears as subtle discolorations on leaf surfaces which gradually develop into clearly visible lesions. Over time, these lesions expand, merge, and lead to tissue necrosis. Affected leaves lose chlorophyll, resulting in reduced photosynthesis. In advanced stages, the plant exhibits stunted growth, premature leaf drop, and reduced yield quality. If left unmanaged, the disease can spread rapidly across the crop canopy.","This disease is primarily caused by pathogen activity under favorable environmental conditions such as high humidity, temperature fluctuations, and poor air circulation. The pathogen spreads through wind, water droplets, contaminated tools, and infected plant debris. Continuous monocropping and improper field sanitation further increase disease intensity.","Effective management requires an integrated approach combining cultural, biological, and preventive strategies. Crop rotation, removal of infected residues, and maintaining proper plant spacing are essential. Ensuring balanced soil nutrition and avoiding excessive irrigation help reduce susceptibility. Regular monitoring and early detection significantly limit disease spread.","1. Apply neem oil spray during early morning hours (6–9 AM) to reduce pathogen activity.
2. Use Trichoderma-based bio-fungicide under high humidity conditions.
3. Avoid irrigation during late evening to minimize leaf wetness.
4. Improve airflow by maintaining proper plant spacing.
5. Apply compost tea weekly to enhance plant immunity and resistance.","A holistic integrated disease management strategy should be implemented. This includes the use of resistant crop varieties, biological control agents, and proper environmental management. Maintaining soil health through organic inputs improves plant resilience. Early intervention and consistent monitoring ensure long-term sustainability and disease suppression.",Moderate,Vermicompost; Neem Cake; Compost,Leaves
Tomato,Bacterial Spot,Bacterial,"The disease initially appears as subtle discolorations on leaf surfaces which gradually develop into clearly visible lesions. Over time, these lesions expand, merge, and lead to tissue necrosis. Affected leaves lose chlorophyll, resulting in reduced photosynthesis. In advanced stages, the plant exhibits stunted growth, premature leaf drop, and reduced yield quality. If left unmanaged, the disease can spread rapidly across the crop canopy.","This disease is primarily caused by pathogen activity under favorable environmental conditions such as high humidity, temperature fluctuations, and poor air circulation. The pathogen spreads through wind, water droplets, contaminated tools, and infected plant debris. Continuous monocropping and improper field sanitation further increase disease intensity.","Effective management requires an integrated approach combining cultural, biological, and preventive strategies. Crop rotation, removal of infected residues, and maintaining proper plant spacing are essential. Ensuring balanced soil nutrition and avoiding excessive irrigation help reduce susceptibility. Regular monitoring and early detection significantly limit disease spread.","1. Apply neem oil spray during early morning hours (6–9 AM) to reduce pathogen activity.
2. Use Trichoderma-based bio-fungicide under high humidity conditions.
3. Avoid irrigation during late evening to minimize leaf wetness.
4. Improve airflow by maintaining proper plant spacing.
5. Apply compost tea weekly to enhance plant immunity and resistance.","A holistic integrated disease management strategy should be implemented. This includes the use of resistant crop varieties, biological control agents, and proper environmental management. Maintaining soil health through organic inputs improves plant resilience. Early intervention and consistent monitoring ensure long-term sustainability and disease suppression.",Moderate,Vermicompost; Neem Cake; Compost,Leaves
Tomato,Early Blight,Fungal,"The disease initially appears as subtle discolorations on leaf surfaces which gradually develop into clearly visible lesions. Over time, these lesions expand, merge, and lead to tissue necrosis. Affected leaves lose chlorophyll, resulting in reduced photosynthesis. In advanced stages, the plant exhibits stunted growth, premature leaf drop, and reduced yield quality. If left unmanaged, the disease can spread rapidly across the crop canopy.","This disease is primarily caused by pathogen activity under favorable environmental conditions such as high humidity, temperature fluctuations, and poor air circulation. The pathogen spreads through wind, water droplets, contaminated tools, and infected plant debris. Continuous monocropping and improper field sanitation further increase disease intensity.","Effective management requires an integrated approach combining cultural, biological, and preventive strategies. Crop rotation, removal of infected residues, and maintaining proper plant spacing are essential. Ensuring balanced soil nutrition and avoiding excessive irrigation help reduce susceptibility. Regular monitoring and early detection significantly limit disease spread.","1. Apply neem oil spray during early morning hours (6–9 AM) to reduce pathogen activity.
2. Use Trichoderma-based bio-fungicide under high humidity conditions.
3. Avoid irrigation during late evening to minimize leaf wetness.
4. Improve airflow by maintaining proper plant spacing.
5. Apply compost tea weekly to enhance plant immunity and resistance.","A holistic integrated disease management strategy should be implemented. This includes the use of resistant crop varieties, biological control agents, and proper environmental management. Maintaining soil health through organic inputs improves plant resilience. Early intervention and consistent monitoring ensure long-term sustainability and disease suppression.",Moderate,Vermicompost; Neem Cake; Compost,Leaves
Tomato,Healthy,None,"The disease initially appears as subtle discolorations on leaf surfaces which gradually develop into clearly visible lesions. Over time, these lesions expand, merge, and lead to tissue necrosis. Affected leaves lose chlorophyll, resulting in reduced photosynthesis. In advanced stages, the plant exhibits stunted growth, premature leaf drop, and reduced yield quality. If left unmanaged, the disease can spread rapidly across the crop canopy.","This disease is primarily caused by pathogen activity under favorable environmental conditions such as high humidity, temperature fluctuations, and poor air circulation. The pathogen spreads through wind, water droplets, contaminated tools, and infected plant debris. Continuous monocropping and improper field sanitation further increase disease intensity.","Effective management requires an integrated approach combining cultural, biological, and preventive strategies. Crop rotation, removal of infected residues, and maintaining proper plant spacing are essential. Ensuring balanced soil nutrition and avoiding excessive irrigation help reduce susceptibility. Regular monitoring and early detection significantly limit disease spread.","1. Apply neem oil spray during early morning hours (6–9 AM) to reduce pathogen activity.
2. Use Trichoderma-based bio-fungicide under high humidity conditions.
3. Avoid irrigation during late evening to minimize leaf wetness.
4. Improve airflow by maintaining proper plant spacing.
5. Apply compost tea weekly to enhance plant immunity and resistance.","A holistic integrated disease management strategy should be implemented. This includes the use of resistant crop varieties, biological control agents, and proper environmental management. Maintaining soil health through organic inputs improves plant resilience. Early intervention and consistent monitoring ensure long-term sustainability and disease suppression.",None,Vermicompost; Neem Cake; Compost,Whole Plant
Tomato,Late Blight,Fungal,"The disease initially appears as subtle discolorations on leaf surfaces which gradually develop into clearly visible lesions. Over time, these lesions expand, merge, and lead to tissue necrosis. Affected leaves lose chlorophyll, resulting in reduced photosynthesis. In advanced stages, the plant exhibits stunted growth, premature leaf drop, and reduced yield quality. If left unmanaged, the disease can spread rapidly across the crop canopy.","This disease is primarily caused by pathogen activity under favorable environmental conditions such as high humidity, temperature fluctuations, and poor air circulation. The pathogen spreads through wind, water droplets, contaminated tools, and infected plant debris. Continuous monocropping and improper field sanitation further increase disease intensity.","Effective management requires an integrated approach combining cultural, biological, and preventive strategies. Crop rotation, removal of infected residues, and maintaining proper plant spacing are essential. Ensuring balanced soil nutrition and avoiding excessive irrigation help reduce susceptibility. Regular monitoring and early detection significantly limit disease spread.","1. Apply neem oil spray during early morning hours (6–9 AM) to reduce pathogen activity.
2. Use Trichoderma-based bio-fungicide under high humidity conditions.
3. Avoid irrigation during late evening to minimize leaf wetness.
4. Improve airflow by maintaining proper plant spacing.
5. Apply compost tea weekly to enhance plant immunity and resistance.","A holistic integrated disease management strategy should be implemented. This includes the use of resistant crop varieties, biological control agents, and proper environmental management. Maintaining soil health through organic inputs improves plant resilience. Early intervention and consistent monitoring ensure long-term sustainability and disease suppression.",Moderate,Vermicompost; Neem Cake; Compost,Leaves
Tomato,Leaf Mold,Fungal,"The disease initially appears as subtle discolorations on leaf surfaces which gradually develop into clearly visible lesions. Over time, these lesions expand, merge, and lead to tissue necrosis. Affected leaves lose chlorophyll, resulting in reduced photosynthesis. In advanced stages, the plant exhibits stunted growth, premature leaf drop, and reduced yield quality. If left unmanaged, the disease can spread rapidly across the crop canopy.","This disease is primarily caused by pathogen activity under favorable environmental conditions such as high humidity, temperature fluctuations, and poor air circulation. The pathogen spreads through wind, water droplets, contaminated tools, and infected plant debris. Continuous monocropping and improper field sanitation further increase disease intensity.","Effective management requires an integrated approach combining cultural, biological, and preventive strategies. Crop rotation, removal of infected residues, and maintaining proper plant spacing are essential. Ensuring balanced soil nutrition and avoiding excessive irrigation help reduce susceptibility. Regular monitoring and early detection significantly limit disease spread.","1. Apply neem oil spray during early morning hours (6–9 AM) to reduce pathogen activity.
2. Use Trichoderma-based bio-fungicide under high humidity conditions.
3. Avoid irrigation during late evening to minimize leaf wetness.
4. Improve airflow by maintaining proper plant spacing.
5. Apply compost tea weekly to enhance plant immunity and resistance.","A holistic integrated disease management strategy should be implemented. This includes the use of resistant crop varieties, biological control agents, and proper environmental management. Maintaining soil health through organic inputs improves plant resilience. Early intervention and consistent monitoring ensure long-term sustainability and disease suppression.",Moderate,Vermicompost; Neem Cake; Compost,Leaves
Tomato,Septoria Leaf Spot,Fungal,"The disease initially appears as subtle discolorations on leaf surfaces which gradually develop into clearly visible lesions. Over time, these lesions expand, merge, and lead to tissue necrosis. Affected leaves lose chlorophyll, resulting in reduced photosynthesis. In advanced stages, the plant exhibits stunted growth, premature leaf drop, and reduced yield quality. If left unmanaged, the disease can spread rapidly across the crop canopy.","This disease is primarily caused by pathogen activity under favorable environmental conditions such as high humidity, temperature fluctuations, and poor air circulation. The pathogen spreads through wind, water droplets, contaminated tools, and infected plant debris. Continuous monocropping and improper field sanitation further increase disease intensity.","Effective management requires an integrated approach combining cultural, biological, and preventive strategies. Crop rotation, removal of infected residues, and maintaining proper plant spacing are essential. Ensuring balanced soil nutrition and avoiding excessive irrigation help reduce susceptibility. Regular monitoring and early detection significantly limit disease spread.","1. Apply neem oil spray during early morning hours (6–9 AM) to reduce pathogen activity.
2. Use Trichoderma-based bio-fungicide under high humidity conditions.
3. Avoid irrigation during late evening to minimize leaf wetness.
4. Improve airflow by maintaining proper plant spacing.
5. Apply compost tea weekly to enhance plant immunity and resistance.","A holistic integrated disease management strategy should be implemented. This includes the use of resistant crop varieties, biological control agents, and proper environmental management. Maintaining soil health through organic inputs improves plant resilience. Early intervention and consistent monitoring ensure long-term sustainability and disease suppression.",Moderate,Vermicompost; Neem Cake; Compost,Leaves
Tomato,Spider Mites,Pest,"The disease initially appears as subtle discolorations on leaf surfaces which gradually develop into clearly visible lesions. Over time, these lesions expand, merge, and lead to tissue necrosis. Affected leaves lose chlorophyll, resulting in reduced photosynthesis. In advanced stages, the plant exhibits stunted growth, premature leaf drop, and reduced yield quality. If left unmanaged, the disease can spread rapidly across the crop canopy.","This disease is primarily caused by pathogen activity under favorable environmental conditions such as high humidity, temperature fluctuations, and poor air circulation. The pathogen spreads through wind, water droplets, contaminated tools, and infected plant debris. Continuous monocropping and improper field sanitation further increase disease intensity.","Effective management requires an integrated approach combining cultural, biological, and preventive strategies. Crop rotation, removal of infected residues, and maintaining proper plant spacing are essential. Ensuring balanced soil nutrition and avoiding excessive irrigation help reduce susceptibility. Regular monitoring and early detection significantly limit disease spread.","1. Apply neem oil spray during early morning hours (6–9 AM) to reduce pathogen activity.
2. Use Trichoderma-based bio-fungicide under high humidity conditions.
3. Avoid irrigation during late evening to minimize leaf wetness.
4. Improve airflow by maintaining proper plant spacing.
5. Apply compost tea weekly to enhance plant immunity and resistance.","A holistic integrated disease management strategy should be implemented. This includes the use of resistant crop varieties, biological control agents, and proper environmental management. Maintaining soil health through organic inputs improves plant resilience. Early intervention and consistent monitoring ensure long-term sustainability and disease suppression.",Moderate,Vermicompost; Neem Cake; Compost,Leaves
