crop,year,season,state,area,production,fertilizer,pesticide,yield
maize,2000,Kharif     ,Meghalaya,16906.0,24250,1659662.02,4395.56,1.437142857
potato,2000,Whole Year ,Meghalaya,18318.0,144292,1798278.06,4762.68,6.954285714
rice,2000,Kharif     ,Meghalaya,102657.0,165907,10077837.69,26690.82,1.681428571
rice,2000,Rabi       ,Meghalaya,4003.0,13135,392974.51,1040.78,1.744285714
potato,2000,Whole Year ,Meghalaya,5143.0,17363,504888.31,1337.18,3.431428571
rice,2000,Kharif     ,Puducherry,42779.0,103606,4199614.43,11122.54,2.605
maize,2000,Kharif     ,West Bengal,35267.0,88264,3462161.39,9169.42,2.568571429
potato,2000,Whole Year ,West Bengal,299664.0,7673130,29418014.88,77912.64,22.39388889
rice,2000,Autumn     ,West Bengal,393944.0,683950,38673482.48,102425.44,1.648333333
rice,2000,Summer     ,West Bengal,1401841.0,4541328,137618731.0,364478.66,3.021111111
rice,2000,Winter     ,West Bengal,3639538.0,7202760,357293445.5,946279.88,1.876111111
maize,2001,Kharif     ,Andhra Pradesh,337533.0,986011,34472245.29,87758.58,2.801818182
maize,2001,Rabi       ,Andhra Pradesh,90752.0,470744,9268501.76,23595.52,5.592857143
potato,2001,Whole Year ,Andhra Pradesh,2348.0,14653,239801.24,610.48,5.85
rice,2001,Kharif     ,Andhra Pradesh,2426073.0,6500545,247774835.5,630778.98,2.627272727
rice,2001,Rabi       ,Andhra Pradesh,1398674.0,4889246,142846575.6,363655.24,3.025909091
potato,2001,Whole Year ,Andhra Pradesh,1945.0,25810,198642.85,505.7,14.05764706
maize,2001,Kharif     ,Assam,19600.0,13940,2001748.0,5096.0,0.608695652
potato,2001,Whole Year ,Assam,80056.0,620571,8176119.28,20814.56,7.350869565
rice,2001,Autumn     ,Assam,495698.0,487719,50625636.74,128881.48,1.120434783
rice,2001,Summer     ,Assam,325987.0,653036,33293052.31,84756.62,1.806521739
rice,2001,Winter     ,Assam,1714736.0,2713493,175125987.7,445831.36,1.600434783
potato,2001,Whole Year ,Assam,8343.0,28665,852070.59,2169.18,3.326956522
rice,2001,Kharif     ,Goa,32746.0,79071,3344348.98,8513.96,2.41
rice,2001,Rabi       ,Goa,16637.0,47452,1699136.81,4325.62,2.85
maize,2001,Kharif     ,Karnataka,505574.0,1274858,51634272.62,131449.24,2.663333333
maize,2001,Rabi       ,Karnataka,65189.0,152769,6657752.57,16949.14,2.279
maize,2001,Summer     ,Karnataka,9272.0,23960,946949.36,2410.72,2.6265
potato,2001,Whole Year ,Karnataka,39156.0,473407,3999002.28,10180.56,12.815
rice,2001,Kharif     ,Karnataka,1087967.0,2393946,111114069.7,282871.42,2.154814815
rice,2001,Rabi       ,Karnataka,53480.0,99699,5461912.4,13904.8,1.840714286
rice,2001,Summer     ,Karnataka,276277.0,740400,28216170.01,71832.02,2.4368
rice,2001,Autumn     ,Kerala,116540.0,235838,11902230.2,30300.4,1.886923077
rice,2001,Summer     ,Kerala,43850.0,105032,4478400.5,11401.0,2.151428571
rice,2001,Winter     ,Kerala,161978.0,362634,16542813.14,42114.28,2.153571429
potato,2001,Whole Year ,Kerala,747.0,8672,76291.11,194.22,11.49153846
maize,2001,Kharif     ,Meghalaya,16866.0,25247,1722524.58,4385.16,1.471428571
potato,2001,Whole Year ,Meghalaya,18151.0,159032,1853761.63,4719.26,7.288571429
rice,2001,Kharif     ,Meghalaya,107761.0,188971,11005630.93,28017.86,1.751428571
potato,2001,Whole Year ,Meghalaya,4942.0,16627,504726.46,1284.92,3.447142857
rice,2001,Kharif     ,Puducherry,26263.0,66868,2682240.19,6828.38,2.415
maize,2001,Kharif     ,West Bengal,33288.0,86409,3399703.44,8654.88,2.314285714
potato,2001,Whole Year ,West Bengal,299821.0,7822363,30620718.73,77953.46,21.95444444
rice,2001,Autumn     ,West Bengal,353048.0,731778,36056792.24,91792.48,2.094705882
rice,2001,Summer     ,West Bengal,1366273.0,4166145,139537461.5,355230.98,2.788823529
rice,2001,Winter     ,West Bengal,3783766.0,8917625,386436021.6,983779.16,2.235294118
maize,2002,Kharif     ,Andhra Pradesh,413659.0,912047,39161097.53,103414.75,1.491363636
maize,2002,Rabi       ,Andhra Pradesh,111990.0,573695,10602093.3,27997.5,5.602272727
potato,2002,Whole Year ,Andhra Pradesh,2672.0,18677,252958.24,668.0,6.946666667
rice,2002,Kharif     ,Andhra Pradesh,2109301.0,5054013,199687525.7,527325.25,2.202727273
rice,2002,Rabi       ,Andhra Pradesh,712766.0,2272773,67477557.22,178191.5,2.533636364
potato,2002,Whole Year ,Andhra Pradesh,1286.0,13380,121745.62,321.5,11.29588235
maize,2002,Kharif     ,Assam,19812.0,14194,1875602.04,4953.0,0.606086957
potato,2002,Whole Year ,Assam,75486.0,589916,7146259.62,18871.5,7.566956522
rice,2002,Autumn     ,Assam,464497.0,444884,43973930.99,116124.25,1.076521739
rice,2002,Summer     ,Assam,327468.0,622358,31001395.56,81867.0,1.794347826
rice,2002,Winter     ,Assam,1748715.0,2670560,165550849.1,437178.75,1.545652174
potato,2002,Whole Year ,Assam,8243.0,28460,780364.81,2060.75,3.405652174
rice,2002,Kharif     ,Goa,33728.0,90072,3193029.76,8432.0,2.67
rice,2002,Rabi       ,Goa,16441.0,44695,1556469.47,4110.25,2.72
rice,2002,Autumn     ,Kerala,112438.0,233217,10644505.46,28109.5,2.130769231
rice,2002,Summer     ,Kerala,41079.0,111850,3888948.93,10269.75,2.212142857
rice,2002,Winter     ,Kerala,157004.0,343792,14863568.68,39251.0,2.123571429
potato,2002,Whole Year ,Kerala,850.0,10463,80469.5,212.5,11.46928571
maize,2002,Kharif     ,Tamil Nadu,121057.0,191646,11460466.19,30264.25,1.806956522
potato,2002,Whole Year ,Tamil Nadu,4537.0,73362,429517.79,1134.25,18.3475
rice,2002,Kharif     ,Tamil Nadu,1516537.0,3577108,143570557.8,379134.25,2.884642857
potato,2002,Whole Year ,Tamil Nadu,814.0,11121,77061.38,203.5,13.8292
maize,2002,Kharif     ,West Bengal,27724.0,55300,2624631.08,6931.0,1.895384615
potato,2002,Summer     ,West Bengal,2395.0,30807,226734.65,598.75,12.86
potato,2002,Winter     ,West Bengal,346906.0,6871659,32841591.02,86726.5,20.73388889
rice,2002,Autumn     ,West Bengal,384965.0,796652,36444636.55,96241.25,2.092777778
rice,2002,Summer     ,West Bengal,1406078.0,4198595,133113404.3,351519.5,2.747777778
rice,2002,Winter     ,West Bengal,4051084.0,9393991,383516122.3,1012771.0,2.221666667
maize,2003,Kharif     ,Andhra Pradesh,557812.0,1671502,55212231.76,133874.88,2.420909091
maize,2003,Rabi       ,Andhra Pradesh,162802.0,805284,16114141.96,39072.48,5.081818182
potato,2003,Whole Year ,Andhra Pradesh,2648.0,24049,262099.04,635.52,9.045
rice,2003,Kharif     ,Andhra Pradesh,2108904.0,5841539,208739317.9,506136.96,2.670909091
rice,2003,Rabi       ,Andhra Pradesh,865734.0,3111263,85690351.32,207776.16,2.729090909
potato,2003,Whole Year ,Andhra Pradesh,1263.0,9130,125011.74,303.12,7.32
maize,2003,Kharif     ,Assam,19569.0,14051,1936939.62,4696.56,0.607391304
potato,2003,Whole Year ,Assam,77894.0,543070,7709948.12,18694.56,6.471304348
rice,2003,Autumn     ,Assam,441143.0,430374,43664334.14,105874.32,1.118695652
rice,2003,Summer     ,Assam,319480.0,573189,31622130.4,76675.2,1.493913043
rice,2003,Winter     ,Assam,1769203.0,2877371,175115712.9,424608.72,1.618695652
potato,2003,Whole Year ,Assam,8194.0,28384,811042.12,1966.56,3.412173913
rice,2003,Kharif     ,Goa,35471.0,115996,3510919.58,8513.04,3.27
rice,2003,Rabi       ,Goa,17330.0,54665,1715323.4,4159.2,3.15
maize,2003,Kharif     ,Karnataka,545546.0,1066107,53998143.08,130931.04,2.3356
maize,2003,Rabi       ,Karnataka,64199.0,123529,6354417.02,15407.76,1.943478261
maize,2003,Summer     ,Karnataka,8428.0,20264,834203.44,2022.72,2.470909091
potato,2003,Whole Year ,Karnataka,53076.0,342752,5253462.48,12738.24,9.008666667
rice,2003,Kharif     ,Karnataka,944272.0,2100123,93464042.56,226625.28,2.133333333
rice,2003,Rabi       ,Karnataka,54629.0,158046,5407178.42,13110.96,2.892
rice,2003,Summer     ,Karnataka,74998.0,292230,7423302.04,17999.52,3.8768
potato,2003,Whole Year ,Karnataka,3580.0,28718,354348.4,859.2,6.229333333
rice,2003,Autumn     ,Kerala,102770.0,220132,10172174.6,24664.8,2.140769231
rice,2003,Summer     ,Kerala,37186.0,83239,3680670.28,8924.64,1.845
rice,2003,Winter     ,Kerala,147384.0,266674,14588068.32,35372.16,1.960714286
potato,2003,Whole Year ,Kerala,1002.0,11981,99177.96,240.48,11.52307692
maize,2003,Kharif     ,Meghalaya,16900.0,25929,1672762.0,4056.0,1.528571429
potato,2003,Whole Year ,Meghalaya,18035.0,149428,1785104.3,4328.4,7.241428571
rice,2003,Kharif     ,Meghalaya,109721.0,200703,10860184.58,26333.04,1.798571429
potato,2003,Whole Year ,Meghalaya,4853.0,16016,480349.94,1164.72,3.395714286
rice,2003,Kharif     ,Puducherry,25065.0,67003,2480933.7,6015.6,2.993333333
maize,2003,Kharif     ,Tamil Nadu,160159.0,250992,15852537.82,38438.16,1.7856
potato,2003,Whole Year ,Tamil Nadu,4341.0,70103,429672.18,1041.84,17.054
rice,2003,Kharif     ,Tamil Nadu,1396651.0,3222776,138240516.0,335196.24,2.728214286
potato,2003,Whole Year ,Tamil Nadu,1039.0,15049,102840.22,249.36,14.55
maize,2003,Kharif     ,West Bengal,55530.0,126059,5496359.4,13327.2,2.133333333
potato,2003,Whole Year ,West Bengal,308425.0,7621635,30527906.5,74022.0,21.86777778
rice,2003,Autumn     ,West Bengal,339753.0,719205,33628751.94,81540.72,2.131666667
rice,2003,Summer     ,West Bengal,1390148.0,4289454,137596849.0,333635.52,2.879444444
rice,2003,Winter     ,West Bengal,4126706.0,9653580,408461359.9,990409.44,2.283333333
maize,2004,Kharif     ,Karnataka,783835.0,2310082,84920683.9,164605.35,3.0068
maize,2004,Rabi       ,Karnataka,57478.0,171589,6227166.52,12070.38,2.84826087
maize,2004,Summer     ,Karnataka,9056.0,27678,981127.04,1901.76,3.007826087
potato,2004,Whole Year ,Karnataka,51937.0,360759,5626854.58,10906.77,10.17875
rice,2004,Kharif     ,Karnataka,1055061.0,2627561,114305308.7,221562.81,2.37
rice,2004,Rabi       ,Karnataka,43861.0,144235,4751900.74,9210.81,3.388666667
rice,2004,Summer     ,Karnataka,209257.0,935326,22670903.38,43943.97,4.251666667
potato,2004,Whole Year ,Karnataka,3583.0,29199,388182.22,752.43,6.102142857
rice,2004,Autumn     ,Kerala,105349.0,241824,11413510.66,22123.29,2.271538462
rice,2004,Summer     ,Kerala,35732.0,89752,3871204.88,7503.72,2.256923077
rice,2004,Winter     ,Kerala,148893.0,335529,16131067.62,31267.53,2.175714286
potato,2004,Whole Year ,Kerala,836.0,10013,90572.24,175.56,11.52769231
maize,2004,Kharif     ,Meghalaya,16875.0,24000,1828237.5,3543.75,1.465714286
potato,2004,Whole Year ,Meghalaya,17287.0,141622,1872873.58,3630.27,7.178571429
rice,2004,Autumn     ,Meghalaya,32667.0,37766,3539142.78,6860.07,1.492857143
rice,2004,Summer     ,Meghalaya,9224.0,37439,999328.16,1937.04,2.078333333
rice,2004,Winter     ,Meghalaya,69659.0,118514,7546856.06,14628.39,1.792857143
potato,2004,Kharif     ,Meghalaya,4974.0,16172,538883.16,1044.54,3.352857143
potato,2004,Whole Year ,Meghalaya,4974.0,16172,538883.16,1044.54,3.352857143
maize,2004,Kharif     ,Tamil Nadu,189893.0,294717,20573007.62,39877.53,1.758846154
potato,2004,Whole Year ,Tamil Nadu,5034.0,79060,545383.56,1057.14,16.0325
rice,2004,Kharif     ,Tamil Nadu,1872822.0,5061622,202901535.5,393292.62,3.015172414
potato,2004,Whole Year ,Tamil Nadu,1397.0,21118,151350.98,293.37,14.9992
maize,2005,Kharif     ,Andhra Pradesh,593135.0,2098190,71128749.2,124558.35,3.803636364
maize,2005,Rabi       ,Andhra Pradesh,164827.0,988711,19766053.84,34613.67,6.032272727
potato,2005,Whole Year ,Andhra Pradesh,3275.0,29564,392738.0,687.75,8.895
rice,2005,Kharif     ,Andhra Pradesh,2526108.0,6376990,302930871.4,530482.68,2.549090909
rice,2005,Rabi       ,Andhra Pradesh,1455643.0,5326634,174560708.6,305685.03,3.132272727
potato,2005,Whole Year ,Andhra Pradesh,1085.0,8726,130113.2,227.85,8.547777778
maize,2005,Kharif     ,Assam,18969.0,13745,2274762.48,3983.49,0.635925926
potato,2005,Whole Year ,Assam,69638.0,353696,8350988.96,14623.98,5.326296296
rice,2005,Autumn     ,Assam,398316.0,398077,47766054.72,83646.36,1.132222222
rice,2005,Summer     ,Assam,314671.0,559969,37735346.32,66080.91,1.637692308
rice,2005,Winter     ,Assam,1707340.0,2594392,204744212.8,358541.4,1.502592593
potato,2005,Whole Year ,Assam,7269.0,25858,871698.48,1526.49,3.405555556
maize,2005,Kharif     ,Karnataka,842243.0,2486900,101001780.6,176871.03,3.1212
maize,2005,Rabi       ,Karnataka,81621.0,282618,9787990.32,17140.41,3.341304348
maize,2005,Summer     ,Karnataka,11990.0,37005,1437840.8,2517.9,3.096666667
potato,2005,Kharif     ,Karnataka,67623.0,226399,8109350.16,14200.83,3.381333333
potato,2005,Rabi       ,Karnataka,5416.0,97924,649486.72,1137.36,17.84
potato,2005,Summer     ,Karnataka,317.0,5078,38014.64,66.57,15.45
rice,2005,Kharif     ,Karnataka,1075993.0,2770413,129033080.6,225958.53,2.50962963
rice,2005,Rabi       ,Karnataka,44944.0,97483,5389684.48,9438.24,2.2675
rice,2005,Summer     ,Karnataka,364244.0,1131350,43680140.48,76491.24,3.0144
potato,2005,Whole Year ,Karnataka,3356.0,27360,402451.52,704.76,6.076153846
rice,2005,Autumn     ,Kerala,98256.0,212520,11782859.52,20633.76,2.096923077
rice,2005,Summer     ,Kerala,21857.0,59733,2621091.44,4589.97,2.345714286
rice,2005,Winter     ,Kerala,155629.0,357734,18663029.68,32682.09,2.189285714
potato,2005,Whole Year ,Kerala,711.0,9013,85263.12,149.31,11.48692308
maize,2005,Kharif     ,Meghalaya,16898.0,24424,2026408.16,3548.58,1.481428571
potato,2005,Whole Year ,Meghalaya,17986.0,167030,2156881.12,3777.06,7.768571429
rice,2005,Autumn     ,Meghalaya,32678.0,43762,3918745.76,6862.38,1.597142857
rice,2005,Summer     ,Meghalaya,9791.0,39910,1174136.72,2056.11,2.245
rice,2005,Winter     ,Meghalaya,63602.0,124605,7627151.84,13356.42,1.971428571
potato,2005,Whole Year ,Meghalaya,4975.0,16270,596602.0,1044.75,3.391428571
maize,2005,Kharif     ,Tamil Nadu,202830.0,0,24323373.6,42594.3,0.0
potato,2005,Whole Year ,Tamil Nadu,5005.0,74593,600199.6,1051.05,15.32
rice,2005,Kharif     ,Tamil Nadu,2050455.0,5209433,245890563.6,430595.55,2.895517241
potato,2005,Whole Year ,Tamil Nadu,1417.0,29555,169926.64,297.57,20.8868
maize,2005,Kharif     ,West Bengal,71753.0,207252,8604619.76,15068.13,2.601764706
potato,2005,Whole Year ,West Bengal,354455.0,7462464,42506243.6,74435.55,19.345
rice,2005,Autumn     ,West Bengal,288129.0,605612,34552429.68,60507.09,2.116111111
rice,2005,Summer     ,West Bengal,1381957.0,4047038,165724283.4,290210.97,2.767222222
rice,2005,Winter     ,West Bengal,4112863.0,9858092,493214531.0,863701.23,2.317222222
rice,2006,Kharif     ,Puducherry,5010.0,13285,639827.1,1102.2,2.64
rice,2006,Rabi       ,Puducherry,12061.0,33581,1540310.31,2653.42,4.05
rice,2006,Summer     ,Puducherry,4574.0,13942,584145.54,1006.28,3.05
maize,2006,Kharif     ,Meghalaya,17039.0,25334,2176050.69,3748.58,1.541428571
potato,2006,Rabi       ,Meghalaya,18173.0,188202,2320873.83,3998.06,8.212857143
rice,2006,Autumn     ,Meghalaya,32679.0,44736,4173435.09,7189.38,1.641428571
rice,2006,Rabi       ,Meghalaya,9854.0,39940,1258454.34,2167.88,2.077142857
rice,2006,Winter     ,Meghalaya,61752.0,115533,7886347.92,13585.44,1.852857143
potato,2006,Rabi       ,Meghalaya,4947.0,16406,631781.37,1088.34,3.238571429
maize,2006,Kharif     ,Andhra Pradesh,535709.0,1284991,68415396.39,117855.98,2.942727273
maize,2006,Rabi       ,Andhra Pradesh,190172.0,1177003,24286866.12,41837.84,6.363181818
potato,2006,Whole Year ,Andhra Pradesh,3645.0,44728,465502.95,801.9,12.436
rice,2006,Kharif     ,Andhra Pradesh,2640870.0,6949186,337265507.7,580991.4,2.689090909
rice,2006,Rabi       ,Andhra Pradesh,1337020.0,4922944,170750824.2,294144.4,3.036818182
potato,2006,Whole Year ,Andhra Pradesh,997.0,8608,127326.87,219.34,8.821764706
maize,2006,Kharif     ,Assam,18657.0,13557,2382685.47,4104.54,0.6252
potato,2006,Whole Year ,Assam,77712.0,504557,9924599.52,17096.64,6.657407407
rice,2006,Autumn     ,Assam,379441.0,335708,48458410.11,83477.02,1.028148148
rice,2006,Summer     ,Assam,312471.0,630162,39905671.41,68743.62,1.837037037
rice,2006,Winter     ,Assam,1504647.0,1950144,192158468.4,331022.34,1.269259259
potato,2006,Whole Year ,Assam,8112.0,28443,1035983.52,1784.64,3.406666667
maize,2006,Kharif     ,Karnataka,865850.0,2354023,110577703.5,190487.0,2.7448
maize,2006,Rabi       ,Karnataka,78902.0,237039,10076574.42,17358.44,2.7208
maize,2006,Summer     ,Karnataka,15780.0,50467,2015263.8,3471.6,3.203333333
potato,2006,Whole Year ,Karnataka,63374.0,561001,8093493.54,13942.28,12.976875
rice,2006,Kharif     ,Karnataka,1066981.0,2723038,136264143.5,234735.82,2.428148148
rice,2006,Rabi       ,Karnataka,44063.0,99796,5627285.73,9693.86,2.335333333
rice,2006,Summer     ,Karnataka,284632.0,822692,36350352.72,62619.04,2.6825
potato,2006,Whole Year ,Karnataka,3014.0,25028,384917.94,663.08,6.240714286
rice,2006,Autumn     ,Kerala,83859.0,191241,10709632.89,18448.98,2.270769231
rice,2006,Summer     ,Kerala,35946.0,103571,4590663.66,7908.12,2.497857143
rice,2006,Winter     ,Kerala,143724.0,346763,18354992.04,31619.28,2.286428571
potato,2006,Whole Year ,Kerala,505.0,6405,64493.55,111.1,11.50071429
maize,2006,Whole Year ,Tamil Nadu,197782.0,759112,25258739.22,43512.04,4.483076923
potato,2006,Whole Year ,Tamil Nadu,5190.0,77443,662814.9,1141.8,15.11333333
rice,2006,Kharif     ,Tamil Nadu,1931397.0,6610607,246658710.9,424907.34,3.584827586
