Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
87,Albania,maize,2011,59869,1485.0,1302.63,16.45
88,Albania,potato,2011,242211,1485.0,1302.63,16.45
91,Albania,maize,2012,67290,1485.0,766.25,16.7
92,Albania,potato,2012,250538,1485.0,766.25,16.7
95,Albania,maize,2013,69533,1485.0,982.32,17.41
96,Albania,potato,2013,260110,1485.0,982.32,17.41
99,Algeria,maize,1990,16500,89.0,1828.92,17.48
100,Algeria,potato,1990,78936,89.0,1828.92,17.48
101,Algeria,rice,1990,28000,89.0,1828.92,17.48
104,Algeria,maize,1991,19231,89.0,2461.8,16.26
105,Algeria,potato,1991,90747,89.0,2461.8,16.26
106,Algeria,rice,1991,26786,89.0,2461.8,16.26
109,Algeria,maize,1992,22828,89.0,1215.47,16.27
110,Algeria,potato,1992,107917,89.0,1215.47,16.27
111,Algeria,rice,1992,24733,89.0,1215.47,16.27
114,Algeria,maize,1993,12500,89.0,1021.89,17.0
115,Algeria,potato,1993,111215,89.0,1021.89,17.0
116,Algeria,rice,1993,23111,89.0,1021.89,17.0
119,Algeria,maize,1994,4512,89.0,1255.02,17.88
120,Algeria,potato,1994,95078,89.0,1255.02,17.88
121,Algeria,rice,1994,21374,89.0,1255.02,17.88
123,Algeria,maize,1995,16115,89.0,2697.09,17.36
124,Algeria,potato,1995,136768,89.0,2697.09,17.36
125,Algeria,rice,1995,19598,89.0,2697.09,17.36
128,Algeria,maize,1996,17154,89.0,479.77,16.76
129,Algeria,potato,1996,134629,89.0,479.77,16.76
130,Algeria,rice,1996,17861,89.0,479.77,16.76
133,Algeria,maize,1997,21417,89.0,401.22,17.84
134,Algeria,potato,1997,141042,89.0,401.22,17.84
135,Algeria,rice,1997,15000,89.0,401.22,17.84
138,Algeria,maize,1998,17222,89.0,322.84,17.14
139,Algeria,potato,1998,160256,89.0,322.84,17.14
140,Algeria,rice,1998,15000,89.0,322.84,17.14
143,Algeria,maize,1999,22375,89.0,654.45,17.97
144,Algeria,potato,1999,153532,89.0,654.45,17.97
145,Algeria,rice,1999,13942,89.0,654.45,17.97
148,Algeria,maize,2000,36186,89.0,603.67,17.9
149,Algeria,potato,2000,166143,89.0,603.67,17.9
150,Algeria,rice,2000,13052,89.0,603.67,17.9
153,Algeria,maize,2001,27175,89.0,710.11,18.13
154,Algeria,potato,2001,147018,89.0,710.11,18.13
155,Algeria,rice,2001,12314,89.0,710.11,18.13
158,Algeria,maize,2002,33480,89.0,816.55,17.85
159,Algeria,potato,2002,183774,89.0,816.55,17.85
160,Algeria,rice,2002,12959,89.0,816.55,17.85
163,Algeria,maize,2004,31729,89.0,3747.86,17.38
164,Algeria,potato,2004,203585,89.0,3747.86,17.38
165,Algeria,rice,2004,12829,89.0,3747.86,17.38
168,Algeria,maize,2005,33864,89.0,3662.87,17.19
169,Algeria,potato,2005,216267,89.0,3662.87,17.19
170,Algeria,rice,2005,12998,89.0,3662.87,17.19
173,Algeria,maize,2006,65668,89.0,4110.72,18.13
174,Algeria,potato,2006,220689,89.0,4110.72,18.13
175,Algeria,rice,2006,12769,89.0,4110.72,18.13
178,Algeria,maize,2007,85625,89.0,5390.79,17.42
179,Algeria,potato,2007,189927,89.0,5390.79,17.42
180,Algeria,rice,2007,13375,89.0,5390.79,17.42
183,Algeria,maize,2008,44714,89.0,11556.12,17.55
184,Algeria,potato,2008,236393,89.0,11556.12,17.55
185,Algeria,rice,2008,13952,89.0,11556.12,17.55
188,Algeria,maize,2009,30914,89.0,3867.99,17.78
189,Algeria,potato,2009,250764,89.0,3867.99,17.78
190,Algeria,rice,2009,14594,89.0,3867.99,17.78
193,Algeria,maize,2010,25827,89.0,1295.88,17.59
194,Algeria,potato,2010,270526,89.0,1295.88,17.59
195,Algeria,rice,2010,15305,89.0,1295.88,17.59
198,Algeria,maize,2011,23374,89.0,13861.76,17.79
199,Algeria,potato,2011,292806,89.0,13861.76,17.79
200,Algeria,rice,2011,16081,89.0,13861.76,17.79
203,Algeria,maize,2012,25583,89.0,17379.76,17.91
204,Algeria,potato,2012,304291,89.0,17379.76,17.91
205,Algeria,rice,2012,16667,89.0,17379.76,17.91
208,Algeria,maize,2013,33649,89.0,17278.65,17.65
209,Algeria,potato,2013,303218,89.0,17278.65,17.65
210,Algeria,rice,2013,17778,89.0,17278.65,17.65
214,Angola,maize,1990,2736,1010.0,64.0,24.12
215,Angola,potato,1990,40000,1010.0,64.0,24.12
216,Angola,rice,1990,9512,1010.0,64.0,24.12
217,Angola,potato,1990,89342,1010.0,64.0,24.12
220,Angola,maize,1991,4013,1010.0,79.0,24.02
221,Angola,potato,1991,40000,1010.0,79.0,24.02
222,Angola,rice,1991,10000,1010.0,79.0,24.02
223,Angola,potato,1991,83001,1010.0,79.0,24.02
226,Angola,maize,1992,3778,1010.0,23.0,23.96
227,Angola,potato,1992,40000,1010.0,23.0,23.96
228,Angola,rice,1992,9106,1010.0,23.0,23.96
229,Angola,potato,1992,90000,1010.0,23.0,23.96
232,Angola,maize,1993,2627,1010.0,169.0,24.15
233,Angola,potato,1993,70000,1010.0,169.0,24.15
234,Angola,rice,1993,8000,1010.0,169.0,24.15
235,Angola,potato,1993,88095,1010.0,169.0,24.15
238,Angola,maize,1994,2463,1010.0,25.5,24.04
239,Angola,potato,1994,90000,1010.0,25.5,24.04
240,Angola,rice,1994,8750,1010.0,25.5,24.04
241,Angola,potato,1994,83192,1010.0,25.5,24.04
244,Angola,maize,1995,3517,1010.0,336.0,24.56
245,Angola,potato,1995,76738,1010.0,336.0,24.56
246,Angola,rice,1995,14615,1010.0,336.0,24.56
247,Angola,potato,1995,81138,1010.0,336.0,24.56
250,Angola,maize,1996,6993,1010.0,40.0,24.11
251,Angola,potato,1996,70000,1010.0,40.0,24.11
252,Angola,rice,1996,17500,1010.0,40.0,24.11
253,Angola,potato,1996,85455,1010.0,40.0,24.11
256,Angola,maize,1997,5959,1010.0,40.0,24.06
257,Angola,potato,1997,68571,1010.0,40.0,24.06
258,Angola,rice,1997,20000,1010.0,40.0,24.06
259,Angola,potato,1997,78098,1010.0,40.0,24.06
262,Angola,maize,1998,7396,1010.0,40.0,24.96
263,Angola,potato,1998,62724,1010.0,40.0,24.96
264,Angola,rice,1998,20000,1010.0,40.0,24.96
265,Angola,potato,1998,76256,1010.0,40.0,24.96
268,Angola,maize,1999,6361,1010.0,40.0,24.37
269,Angola,potato,1999,54597,1010.0,40.0,24.37
270,Angola,rice,1999,14235,1010.0,40.0,24.37
271,Angola,potato,1999,82865,1010.0,40.0,24.37
274,Angola,maize,2000,5745,1010.0,40.0,24.41
275,Angola,potato,2000,29885,1010.0,40.0,24.41
276,Angola,rice,2000,13454,1010.0,40.0,24.41
279,Angola,potato,2000,34938,1010.0,40.0,24.41
282,Angola,maize,2001,5754,1010.0,40.0,24.43
283,Angola,potato,2001,42552,1010.0,40.0,24.43
284,Angola,rice,2001,13701,1010.0,40.0,24.43
287,Angola,potato,2001,44458,1010.0,40.0,24.43
290,Angola,maize,2002,6706,1010.0,40.0,24.79
291,Angola,potato,2002,42754,1010.0,40.0,24.79
292,Angola,rice,2002,13198,1010.0,40.0,24.79
295,Angola,potato,2002,42190,1010.0,40.0,24.79
298,Angola,maize,2004,5404,1010.0,40.0,24.22
299,Angola,potato,2004,20150,1010.0,40.0,24.22
300,Angola,rice,2004,11584,1010.0,40.0,24.22
303,Angola,potato,2004,45360,1010.0,40.0,24.22
306,Angola,maize,2005,6736,1010.0,40.0,24.41
307,Angola,potato,2005,23646,1010.0,40.0,24.41
308,Angola,rice,2005,6977,1010.0,40.0,24.41
311,Angola,potato,2005,46159,1010.0,40.0,24.41
314,Angola,maize,2006,4687,1010.0,40.0,24.14
315,Angola,potato,2006,52148,1010.0,40.0,24.14
316,Angola,rice,2006,4947,1010.0,40.0,24.14
319,Angola,potato,2006,44240,1010.0,40.0,24.14
322,Angola,maize,2007,5091,1010.0,40.0,24.24
323,Angola,potato,2007,62138,1010.0,40.0,24.24
324,Angola,rice,2007,5143,1010.0,40.0,24.24
327,Angola,potato,2007,58855,1010.0,40.0,24.24
330,Angola,maize,2008,7946,1010.0,40.0,24.27
331,Angola,potato,2008,85085,1010.0,40.0,24.27
332,Angola,rice,2008,5084,1010.0,40.0,24.27
335,Angola,potato,2008,65437,1010.0,40.0,24.27
338,Angola,maize,2009,6614,1010.0,40.0,24.33
339,Angola,potato,2009,86509,1010.0,40.0,24.33
340,Angola,rice,2009,6028,1010.0,40.0,24.33
343,Angola,potato,2009,66475,1010.0,40.0,24.33
346,Angola,maize,2010,7200,1010.0,40.0,24.44
347,Angola,potato,2010,87425,1010.0,40.0,24.44
348,Angola,rice,2010,7403,1010.0,40.0,24.44
351,Angola,potato,2010,63001,1010.0,40.0,24.44
354,Angola,maize,2011,7376,1010.0,40.0,24.15
355,Angola,potato,2011,81366,1010.0,40.0,24.15
356,Angola,rice,2011,8914,1010.0,40.0,24.15
359,Angola,potato,2011,65512,1010.0,40.0,24.15
362,Angola,maize,2012,7770,1010.0,40.0,24.24
363,Angola,potato,2012,69381,1010.0,40.0,24.24
364,Angola,rice,2012,7703,1010.0,40.0,24.24
367,Angola,potato,2012,52954,1010.0,40.0,24.24
370,Angola,maize,2013,9467,1010.0,40.0,24.55
371,Angola,potato,2013,63303,1010.0,40.0,24.55
372,Angola,rice,2013,12744,1010.0,40.0,24.55
375,Angola,potato,2013,73409,1010.0,40.0,24.55
379,Argentina,maize,1990,34608,591.0,26156.0,17.46
380,Argentina,maize,1990,34608,591.0,26156.0,17.67
381,Argentina,potato,1990,202747,591.0,26156.0,17.46
382,Argentina,potato,1990,202747,591.0,26156.0,17.67
383,Argentina,rice,1990,36709,591.0,26156.0,17.46
384,Argentina,rice,1990,36709,591.0,26156.0,17.67
389,Argentina,potato,1990,131864,591.0,26156.0,17.46
390,Argentina,potato,1990,131864,591.0,26156.0,17.67
395,Argentina,maize,1991,40444,591.0,26156.0,17.64
396,Argentina,maize,1991,40444,591.0,26156.0,17.86
397,Argentina,potato,1991,205692,591.0,26156.0,17.64
398,Argentina,potato,1991,205692,591.0,26156.0,17.86
399,Argentina,rice,1991,40294,591.0,26156.0,17.64
400,Argentina,rice,1991,40294,591.0,26156.0,17.86
405,Argentina,potato,1991,131364,591.0,26156.0,17.64
406,Argentina,potato,1991,131364,591.0,26156.0,17.86
411,Argentina,maize,1992,45237,591.0,26156.0,17.09
412,Argentina,maize,1992,45237,591.0,26156.0,17.51
413,Argentina,potato,1992,199039,591.0,26156.0,17.09
414,Argentina,potato,1992,199039,591.0,26156.0,17.51
415,Argentina,rice,1992,52075,591.0,26156.0,17.09
416,Argentina,rice,1992,52075,591.0,26156.0,17.51
421,Argentina,potato,1992,127273,591.0,26156.0,17.09
422,Argentina,potato,1992,127273,591.0,26156.0,17.51
427,Argentina,maize,1993,43552,591.0,26156.0,17.32
428,Argentina,maize,1993,43552,591.0,26156.0,17.53
429,Argentina,potato,1993,210314,591.0,26156.0,17.32
430,Argentina,potato,1993,210314,591.0,26156.0,17.53
431,Argentina,rice,1993,43559,591.0,26156.0,17.32
432,Argentina,rice,1993,43559,591.0,26156.0,17.53
437,Argentina,potato,1993,122955,591.0,26156.0,17.32
438,Argentina,potato,1993,122955,591.0,26156.0,17.53
443,Argentina,maize,1994,42371,591.0,30195.0,18.17
444,Argentina,maize,1994,42371,591.0,30195.0,18.31
445,Argentina,potato,1994,230166,591.0,30195.0,18.17
446,Argentina,potato,1994,230166,591.0,30195.0,18.31
447,Argentina,rice,1994,42989,591.0,30195.0,18.17
448,Argentina,rice,1994,42989,591.0,30195.0,18.31
453,Argentina,potato,1994,176667,591.0,30195.0,18.17
454,Argentina,potato,1994,176667,591.0,30195.0,18.31
459,Argentina,maize,1995,45223,591.0,37842.0,17.74
460,Argentina,maize,1995,45223,591.0,37842.0,17.62
461,Argentina,potato,1995,274272,591.0,37842.0,17.74
462,Argentina,potato,1995,274272,591.0,37842.0,17.62
463,Argentina,rice,1995,50306,591.0,37842.0,17.74
464,Argentina,rice,1995,50306,591.0,37842.0,17.62
469,Argentina,potato,1995,168000,591.0,37842.0,17.74
470,Argentina,potato,1995,168000,591.0,37842.0,17.62
475,Argentina,maize,1996,40397,591.0,54595.0,17.64
476,Argentina,maize,1996,40397,591.0,54595.0,17.97
477,Argentina,potato,1996,228877,591.0,54595.0,17.64
478,Argentina,potato,1996,228877,591.0,54595.0,17.97
479,Argentina,rice,1996,51031,591.0,54595.0,17.64
480,Argentina,rice,1996,51031,591.0,54595.0,17.97
485,Argentina,potato,1996,170000,591.0,54595.0,17.64
486,Argentina,potato,1996,170000,591.0,54595.0,17.97
491,Argentina,maize,1997,45557,591.0,77691.0,18.29
492,Argentina,maize,1997,45557,591.0,77691.0,18.54
493,Argentina,potato,1997,268502,591.0,77691.0,18.29
494,Argentina,potato,1997,268502,591.0,77691.0,18.54
495,Argentina,rice,1997,53703,591.0,77691.0,18.29
496,Argentina,rice,1997,53703,591.0,77691.0,18.54
501,Argentina,potato,1997,145662,591.0,77691.0,18.29
502,Argentina,potato,1997,145662,591.0,77691.0,18.54
507,Argentina,maize,1998,60780,591.0,62397.0,17.23
508,Argentina,maize,1998,60780,591.0,62397.0,17.52
509,Argentina,potato,1998,293744,591.0,62397.0,17.23
510,Argentina,potato,1998,293744,591.0,62397.0,17.52
511,Argentina,rice,1998,47762,591.0,62397.0,17.23
512,Argentina,rice,1998,47762,591.0,62397.0,17.52
517,Argentina,potato,1998,175055,591.0,62397.0,17.23
518,Argentina,potato,1998,175055,591.0,62397.0,17.52
523,Argentina,maize,1999,53702,591.0,62831.39,17.15
524,Argentina,maize,1999,53702,591.0,62831.39,17.71
525,Argentina,potato,1999,238938,591.0,62831.39,17.15
526,Argentina,potato,1999,238938,591.0,62831.39,17.71
527,Argentina,rice,1999,57337,591.0,62831.39,17.15
528,Argentina,rice,1999,57337,591.0,62831.39,17.71
533,Argentina,potato,1999,143991,591.0,62831.39,17.15
534,Argentina,potato,1999,143991,591.0,62831.39,17.71
539,Argentina,maize,2000,54329,591.0,63265.78,16.98
540,Argentina,maize,2000,54329,591.0,63265.78,17.66
541,Argentina,potato,2000,277566,591.0,63265.78,16.98
542,Argentina,potato,2000,277566,591.0,63265.78,17.66
543,Argentina,rice,2000,47798,591.0,63265.78,16.98
544,Argentina,rice,2000,47798,591.0,63265.78,17.66
549,Argentina,potato,2000,151462,591.0,63265.78,16.98
550,Argentina,potato,2000,151462,591.0,63265.78,17.66
555,Argentina,maize,2001,54553,591.0,63700.17,17.71
556,Argentina,maize,2001,54553,591.0,63700.17,18.42
557,Argentina,potato,2001,283768,591.0,63700.17,17.71
558,Argentina,potato,2001,283768,591.0,63700.17,18.42
559,Argentina,rice,2001,57495,591.0,63700.17,17.71
560,Argentina,rice,2001,57495,591.0,63700.17,18.42
565,Argentina,potato,2001,155212,591.0,63700.17,17.71
566,Argentina,potato,2001,155212,591.0,63700.17,18.42
571,Argentina,maize,2002,60791,591.0,64134.56,17.58
572,Argentina,maize,2002,60791,591.0,64134.56,18.07
573,Argentina,potato,2002,251347,591.0,64134.56,17.58
574,Argentina,potato,2002,251347,591.0,64134.56,18.07
575,Argentina,rice,2002,57197,591.0,64134.56,17.58
576,Argentina,rice,2002,57197,591.0,64134.56,18.07
581,Argentina,potato,2002,155890,591.0,64134.56,17.58
582,Argentina,potato,2002,155890,591.0,64134.56,18.07
587,Argentina,maize,2004,63931,591.0,65003.34,17.67
588,Argentina,maize,2004,63931,591.0,65003.34,18.11
589,Argentina,potato,2004,288717,591.0,65003.34,17.67
590,Argentina,potato,2004,288717,591.0,65003.34,18.11
591,Argentina,rice,2004,62661,591.0,65003.34,17.67
592,Argentina,rice,2004,62661,591.0,65003.34,18.11
597,Argentina,potato,2004,154867,591.0,65003.34,17.67
598,Argentina,potato,2004,154867,591.0,65003.34,18.11
603,Argentina,maize,2005,73587,591.0,65437.73,17.32
604,Argentina,maize,2005,73587,591.0,65437.73,17.83
605,Argentina,potato,2005,283917,591.0,65437.73,17.32
606,Argentina,potato,2005,283917,591.0,65437.73,17.83
607,Argentina,rice,2005,60165,591.0,65437.73,17.32
608,Argentina,rice,2005,60165,591.0,65437.73,17.83
613,Argentina,potato,2005,154472,591.0,65437.73,17.32
614,Argentina,potato,2005,154472,591.0,65437.73,17.83
619,Argentina,maize,2006,59030,591.0,65872.12,18.1
620,Argentina,maize,2006,59030,591.0,65872.12,18.35
621,Argentina,potato,2006,285828,591.0,65872.12,18.1
622,Argentina,potato,2006,285828,591.0,65872.12,18.35
623,Argentina,rice,2006,70610,591.0,65872.12,18.1
624,Argentina,rice,2006,70610,591.0,65872.12,18.35
629,Argentina,potato,2006,143478,591.0,65872.12,18.1
630,Argentina,potato,2006,143478,591.0,65872.12,18.35
635,Argentina,maize,2007,76655,591.0,81582.64,16.71
636,Argentina,maize,2007,76655,591.0,81582.64,17.14
637,Argentina,potato,2007,286765,591.0,81582.64,16.71
638,Argentina,potato,2007,286765,591.0,81582.64,17.14
639,Argentina,rice,2007,65604,591.0,81582.64,16.71
640,Argentina,rice,2007,65604,591.0,81582.64,17.14
645,Argentina,potato,2007,141667,591.0,81582.64,16.71
646,Argentina,potato,2007,141667,591.0,81582.64,17.14
651,Argentina,maize,2008,64525,591.0,87149.01,17.71
652,Argentina,maize,2008,64525,591.0,87149.01,18.39
653,Argentina,potato,2008,279412,591.0,87149.01,17.71
654,Argentina,potato,2008,279412,591.0,87149.01,18.39
655,Argentina,rice,2008,68278,591.0,87149.01,17.71
656,Argentina,rice,2008,68278,591.0,87149.01,18.39
661,Argentina,potato,2008,145105,591.0,87149.01,17.71
662,Argentina,potato,2008,145105,591.0,87149.01,18.39
667,Argentina,maize,2009,55760,591.0,61586.56,18.16
668,Argentina,maize,2009,55760,591.0,61586.56,18.09
669,Argentina,potato,2009,284439,591.0,61586.56,18.16
670,Argentina,potato,2009,284439,591.0,61586.56,18.09
671,Argentina,rice,2009,68842,591.0,61586.56,18.16
672,Argentina,rice,2009,68842,591.0,61586.56,18.09
677,Argentina,potato,2009,151208,591.0,61586.56,18.16
678,Argentina,potato,2009,151208,591.0,61586.56,18.09
683,Argentina,maize,2010,78040,591.0,105915.04,17.33
684,Argentina,maize,2010,78040,591.0,105915.04,17.84
685,Argentina,potato,2010,289849,591.0,105915.04,17.33
686,Argentina,potato,2010,289849,591.0,105915.04,17.84
687,Argentina,rice,2010,57646,591.0,105915.04,17.33
688,Argentina,rice,2010,57646,591.0,105915.04,17.84
693,Argentina,potato,2010,149382,591.0,105915.04,17.33
694,Argentina,potato,2010,149382,591.0,105915.04,17.84
699,Argentina,maize,2011,63503,591.0,100424.62,17.58
700,Argentina,maize,2011,63503,591.0,100424.62,17.93
701,Argentina,potato,2011,286657,591.0,100424.62,17.58
702,Argentina,potato,2011,286657,591.0,100424.62,17.93
703,Argentina,rice,2011,67901,591.0,100424.62,17.58
704,Argentina,rice,2011,67901,591.0,100424.62,17.93
709,Argentina,potato,2011,148754,591.0,100424.62,17.58
710,Argentina,potato,2011,148754,591.0,100424.62,17.93
715,Argentina,maize,2012,57346,591.0,136185.08,18.18
716,Argentina,maize,2012,57346,591.0,136185.08,18.43
717,Argentina,potato,2012,287821,591.0,136185.08,18.18
718,Argentina,potato,2012,287821,591.0,136185.08,18.43
719,Argentina,rice,2012,66617,591.0,136185.08,18.18
720,Argentina,rice,2012,66617,591.0,136185.08,18.43
725,Argentina,potato,2012,148126,591.0,136185.08,18.18
726,Argentina,potato,2012,148126,591.0,136185.08,18.43
731,Argentina,maize,2013,66037,591.0,171945.54,16.45
732,Argentina,maize,2013,66037,591.0,171945.54,16.88
733,Argentina,potato,2013,288984,591.0,171945.54,16.45
734,Argentina,potato,2013,288984,591.0,171945.54,16.88
735,Argentina,rice,2013,67187,591.0,171945.54,16.45
736,Argentina,rice,2013,67187,591.0,171945.54,16.88
741,Argentina,potato,2013,147498,591.0,171945.54,16.45
742,Argentina,potato,2013,147498,591.0,171945.54,16.88
745,Armenia,maize,1992,32344,562.0,8.0,7.44
746,Armenia,potato,1992,111301,562.0,8.0,7.44
748,Armenia,maize,1993,32261,562.0,8.0,7.69
749,Armenia,potato,1993,134416,562.0,8.0,7.69
751,Armenia,maize,1994,32667,562.0,23.0,8.84
752,Armenia,potato,1994,131195,562.0,23.0,8.84
754,Armenia,maize,1995,18261,562.0,23.9,9.76
755,Armenia,potato,1995,131196,562.0,23.9,9.76
757,Armenia,maize,1996,22239,562.0,32.0,9.55
758,Armenia,potato,1996,129626,562.0,32.0,9.55
760,Armenia,maize,1997,45548,562.0,41.46,9.1
761,Armenia,potato,1997,109362,562.0,41.46,9.1
763,Armenia,maize,1998,26082,562.0,50.92,10.28
764,Armenia,potato,1998,134409,562.0,50.92,10.28
766,Armenia,maize,1999,40303,562.0,60.38,10.11
767,Armenia,potato,1999,130618,562.0,60.38,10.11
769,Armenia,maize,2000,23178,562.0,69.85,9.68
770,Armenia,potato,2000,87349,562.0,69.85,9.68
772,Armenia,maize,2001,37913,562.0,79.31,10.18
773,Armenia,potato,2001,114619,562.0,79.31,10.18
775,Armenia,maize,2002,37380,562.0,88.77,9.41
776,Armenia,potato,2002,122814,562.0,88.77,9.41
778,Armenia,maize,2004,61791,562.0,204.77,9.55
779,Armenia,potato,2004,161509,562.0,204.77,9.55
781,Armenia,maize,2005,44692,562.0,220.51,9.58
782,Armenia,potato,2005,164459,562.0,220.51,9.58
784,Armenia,maize,2006,33271,562.0,227.55,9.89
785,Armenia,potato,2006,163418,562.0,227.55,9.89
787,Armenia,maize,2007,53262,562.0,241.71,9.44
788,Armenia,potato,2007,184719,562.0,241.71,9.44
790,Armenia,maize,2008,53424,562.0,218.2,9.51
791,Armenia,potato,2008,189096,562.0,218.2,9.51
793,Armenia,maize,2009,57763,562.0,198.36,9.67
794,Armenia,potato,2009,185496,562.0,198.36,9.67
796,Armenia,maize,2010,46724,562.0,278.72,11.31
797,Armenia,potato,2010,170146,562.0,278.72,11.31
799,Armenia,maize,2011,54257,562.0,278.72,8.93
800,Armenia,potato,2011,194426,562.0,278.72,8.93
802,Armenia,maize,2012,62215,562.0,278.72,10.2
803,Armenia,potato,2012,207151,562.0,278.72,10.2
805,Armenia,maize,2013,67114,562.0,278.72,11.08
806,Armenia,potato,2013,215290,562.0,278.72,11.08
808,Australia,maize,1990,41821,534.0,17866.0,16.8
809,Australia,maize,1990,41821,534.0,17866.0,20.06
810,Australia,maize,1990,41821,534.0,17866.0,12.11
811,Australia,maize,1990,41821,534.0,17866.0,14.16
812,Australia,maize,1990,41821,534.0,17866.0,18.05
813,Australia,maize,1990,41821,534.0,17866.0,17.47
814,Australia,potato,1990,289832,534.0,17866.0,16.8
815,Australia,potato,1990,289832,534.0,17866.0,20.06
816,Australia,potato,1990,289832,534.0,17866.0,12.11
817,Australia,potato,1990,289832,534.0,17866.0,14.16
818,Australia,potato,1990,289832,534.0,17866.0,18.05
819,Australia,potato,1990,289832,534.0,17866.0,17.47
820,Australia,rice,1990,88000,534.0,17866.0,16.8
821,Australia,rice,1990,88000,534.0,17866.0,20.06
822,Australia,rice,1990,88000,534.0,17866.0,12.11
823,Australia,rice,1990,88000,534.0,17866.0,14.16
824,Australia,rice,1990,88000,534.0,17866.0,18.05
825,Australia,rice,1990,88000,534.0,17866.0,17.47
838,Australia,potato,1990,137140,534.0,17866.0,16.8
839,Australia,potato,1990,137140,534.0,17866.0,20.06
840,Australia,potato,1990,137140,534.0,17866.0,12.11
841,Australia,potato,1990,137140,534.0,17866.0,14.16
842,Australia,potato,1990,137140,534.0,17866.0,18.05
843,Australia,potato,1990,137140,534.0,17866.0,17.47
850,Australia,maize,1991,39938,534.0,17866.0,16.78
851,Australia,maize,1991,39938,534.0,17866.0,20.29
852,Australia,maize,1991,39938,534.0,17866.0,12.22
853,Australia,maize,1991,39938,534.0,17866.0,13.77
854,Australia,maize,1991,39938,534.0,17866.0,18.73
855,Australia,maize,1991,39938,534.0,17866.0,17.85
856,Australia,potato,1991,285359,534.0,17866.0,16.78
857,Australia,potato,1991,285359,534.0,17866.0,20.29
858,Australia,potato,1991,285359,534.0,17866.0,12.22
859,Australia,potato,1991,285359,534.0,17866.0,13.77
860,Australia,potato,1991,285359,534.0,17866.0,18.73
861,Australia,potato,1991,285359,534.0,17866.0,17.85
862,Australia,rice,1991,88427,534.0,17866.0,16.78
863,Australia,rice,1991,88427,534.0,17866.0,20.29
864,Australia,rice,1991,88427,534.0,17866.0,12.22
865,Australia,rice,1991,88427,534.0,17866.0,13.77
866,Australia,rice,1991,88427,534.0,17866.0,18.73
867,Australia,rice,1991,88427,534.0,17866.0,17.85
880,Australia,potato,1991,151142,534.0,17866.0,16.78
881,Australia,potato,1991,151142,534.0,17866.0,20.29
882,Australia,potato,1991,151142,534.0,17866.0,12.22
883,Australia,potato,1991,151142,534.0,17866.0,13.77
884,Australia,potato,1991,151142,534.0,17866.0,18.73
885,Australia,potato,1991,151142,534.0,17866.0,17.85
892,Australia,maize,1992,51721,534.0,22234.0,15.78
893,Australia,maize,1992,51721,534.0,22234.0,19.79
